,layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
17,35,Linear,0.06887858401678587,896,896,1.0,2.0908162388205396,6.2280701838962,3.5767993427133646,0.9470860115028269,0.0,0.9000347756818544,True,3.752346992492676,dense,3.71546835029041,2.311676280682169,0.5743029922754925,model.layers.2.self_attn.o_proj,896,0.2523983025550843,204.9633830112388,896,22,65,1,1,1.1146283083640778,1.0173738717919678,3.752346992492676,54.62271570867759,success,1.9370975494384766,2.3662612875341438e-05,under-trained,3,3.752346992492676,1.5540077686309814
18,37,Linear,0.013295889858921883,896,4864,5.428571428571429,0.6429005419767444,4.047658457608349,6.446974891891967,4.451505774928064,0.7100584472689752,1.0171140679775799,True,39.153133392333984,dense,6.482674337553502,3.3360204259026824,1.5927665240068969,model.layers.2.mlp.gate_proj,896,0.1136947515878678,2167.80605949834,896,187,61,0,1,0.2228668588206809,0.949084767468976,39.153133392333984,55.36737092727263,success,6.257246494293213,0.17843636870384216,,0,39.153133392333984,3.2257936000823975
19,38,Linear,0.09383509425110148,896,4864,5.428571428571429,0.8867196574617153,7.803537646347184,8.903312446855493,2.613184442067549,0.416828323083982,1.0285863070670183,True,13.833524703979492,dense,8.90339930785912,3.056735336992214,1.1409328499905567,model.layers.2.mlp.up_proj,896,0.18890228614807145,1139.5551206581295,896,137,3,0,1,0.5812654487720985,1.0029495988407464,13.833524703979492,82.37633900565584,success,3.7193446159362793,0.1541900634765625,under-trained,0,13.833524703979492,1.9266763925552368
20,39,Linear,0.028463666768880347,896,4864,5.428571428571429,0.9015212111208333,5.8807542957450485,6.439537598137553,2.437804496676546,0.3888535168043102,1.0213486101277645,True,12.445690155029297,dense,6.448326476720921,3.0423561110186883,1.0950189846899072,model.layers.2.mlp.down_proj,896,0.19587539672851573,1102.4429156705737,896,89,41,0,1,0.5173589206321686,0.9848795660167065,12.445690155029297,88.58029582434021,success,3.5278449058532715,0.31714725494384766,,0,12.445690155029297,2.175837516784668
21,45,Linear,0.05888901612127806,896,896,1.0,1.4785631524326108,4.658806051765757,3.5934240549416407,1.8898478555916733,0.0,0.9317022873096547,True,5.90634298324585,dense,4.071502670073618,2.612628251948313,0.7713186629822633,model.layers.3.self_attn.q_proj,896,0.31996920276260377,409.8531260904332,896,37,42,0,1,0.6015040096570032,1.0163032263536054,5.90634298324585,69.39202942549014,success,2.4302968978881836,0.000782086281105876,,1,5.90634298324585,2.101566791534424
22,46,Linear,0.06254044053873475,128,896,7.0,1.0842576335014074,6.52332515638791,3.499951427525048,0.5125792622543409,0.10445166564203294,0.953678893865406,True,3.4397647380828857,dense,3.63667192831893,2.0369449928559464,0.5365287401161891,model.layers.3.self_attn.k_proj,128,0.1490157906962036,108.87921796739101,128,22,75,0,1,1.1775768800068664,0.5633456998524262,3.4397647380828857,31.653100214078485,success,1.8546602725982666,0.0739927738904953,under-trained,0,3.4397647380828857,1.4718495607376099
23,47,Linear,0.07627227275425319,128,896,7.0,2.315183461334944,20.34812782936783,-9.537670349385643,0.355949613411439,0.07253420640145619,0.9952821284296174,True,0.3398406207561493,dense,-9.4050118417375,1.3780391468980706,-0.46872471164743795,model.layers.3.self_attn.v_proj,128,1.0474016102590886,23.880265276879072,128,11,0,0,1,5.833680036895141,1.0024013745948142,0.3398406207561493,70.26901382108238,success,0.5829585194587708,0.23379023373126984,under-trained,0,0.3398406207561493,0.27318519353866577
24,48,Linear,0.06405269962440319,896,896,1.0,2.081449064421288,5.751842805001263,2.582832437898153,0.9571386639972755,0.0,0.9405222862664366,True,2.812187910079956,dense,2.745852728871692,2.315576434380049,0.44904433682581946,model.layers.3.self_attn.o_proj,896,0.3403537368774415,206.8123332698926,896,30,32,0,1,0.8675638313392714,1.018176858524126,2.812187910079956,73.54143459923078,success,1.6769579648971558,0.00039222012856043875,,2,2.812187910079956,1.0359013080596924
25,50,Linear,0.017196966453212448,896,4864,5.428571428571429,0.622051633824606,4.815882452106376,8.113735868823003,4.885090708848116,0.779219459408394,1.018340991997318,True,48.393489837646484,dense,8.116685725214348,3.3646551394624535,1.6847869418561512,model.layers.3.mlp.gate_proj,896,0.10094520410156253,2315.5552051216364,896,110,52,0,1,0.36383011630421647,0.9619898548249001,48.393489837646484,47.84848567214322,success,6.95654296875,0.1465854048728943,,0,48.393489837646484,4.200968265533447
26,51,Linear,0.05143526344019189,896,4864,5.428571428571429,0.900803329814199,18.223853464182103,9.170317548408013,2.5698394463808785,0.4099143748852616,1.0315885560276503,True,3.1856942176818848,dense,9.314580684649435,3.043048043907664,0.503204087238285,model.layers.3.mlp.up_proj,896,0.8066811409950256,1104.2007655603811,896,26,2,0,1,3.3778755735818167,1.0103939082600817,3.1856942176818848,346.61228922462885,success,1.784851312637329,0.12411391735076904,under-trained,0,3.1856942176818848,2.330636739730835
