,layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,6,Linear,0.050907746107100915,896,896,1.0,0.6237141878417222,1.781106598951098,4.41483351676251,10.148022004297493,0.0,0.6598139447613545,True,301.0943298339844,dense,4.904712878640848,3.362336763242439,2.4787025770172466,model.layers.0.self_attn.q_proj,896,0.03370379644775393,2303.2271073723264,896,94,36,6,1,0.08056499417511089,0.9934507172842001,301.0943298339844,7.649520031288089,success,17.352069854736328,0.00011631798406597227,over-trained,3,301.0943298339844,2.697237730026245
1,7,Linear,0.07006166356646937,128,896,7.0,0.5176328567504614,1.7316269630896057,3.461379707312546,0.49121773221274834,0.10009868541475343,0.6584989680158426,True,99.75109100341797,dense,3.8062651172500432,2.6791662988840357,1.998917654375558,model.layers.0.self_attn.k_proj,128,0.004924434683084487,477.712162906304,128,39,49,0,1,0.11715407487356119,0.26328179646239447,99.75109100341797,4.789041985414828,success,9.987546920776367,0.07903993129730225,over-trained,0,99.75109100341797,1.4091609716415405
2,8,Linear,0.11474845614059015,128,896,7.0,3.671495754266497,5.387859051647653,-3.2362461557687845,0.11705293219041159,0.023852649991730875,0.9594891360260905,True,0.250809907913208,dense,-2.6126303273049256,0.9775239089996394,-0.6006553112741717,model.layers.0.self_attn.v_proj,128,0.4666997933387759,9.49563273601234,128,18,20,0,1,1.0342282967702765,0.9115828758589546,0.250809907913208,37.85987888205068,success,0.5008092522621155,0.046672314405441284,,0,0.250809907913208,0.1371535211801529
3,9,Linear,0.05182533298580716,896,896,1.0,2.7248373981055427,3.311318268563548,2.696430963380685,0.5405099477697165,0.0,0.8265202174130775,True,6.52089786529541,dense,3.0097373743523086,2.0816268270514593,0.814307398047364,model.layers.0.self_attn.o_proj,896,0.08288888415908816,120.67764517655495,896,28,56,2,1,0.4367980956671104,1.001641802981133,6.52089786529541,18.506292794249738,success,2.5536048412323,2.1099041987326927e-05,,7,6.52089786529541,1.0693964958190918
4,11,Linear,0.06259314120967696,896,4864,5.428571428571429,0.6865370297542727,2.4769878798775684,3.609719732120003,3.643260320356815,0.5811354397515148,1.0027332664297963,True,28.661712646484375,dense,4.4623080048140435,3.2789800761619188,1.4573021375859225,model.layers.0.mlp.gate_proj,896,0.12711244318485257,1900.9910674244165,896,46,44,0,1,0.2177699822262229,0.9168890989724797,28.661712646484375,66.32510383700294,success,5.353663444519043,0.37173277139663696,,0,28.661712646484375,3.762798309326172
5,12,Linear,0.05091633702922038,896,4864,5.428571428571429,0.8337540588963365,9.305558672160803,6.7713942923495525,2.988245020732405,0.4766541316044426,1.030380928760021,True,5.341607570648193,dense,6.921917474120437,3.1102320873223817,0.7276719787504383,model.layers.0.mlp.up_proj,896,0.5594280338287351,1288.938177280128,896,81,7,0,1,0.9228398524623115,1.0084486853362096,5.341607570648193,241.30154831342617,success,2.3111917972564697,0.2917032241821289,under-trained,0,5.341607570648193,2.407418727874756
6,13,Linear,0.045615930348344325,896,4864,5.428571428571429,0.840056706545923,6.560214577112087,7.200250254752891,2.9706468482945074,0.47384705201658633,1.0293311357225474,True,12.518815040588379,dense,7.203695359530697,3.103690802993717,1.0975632229887453,model.layers.0.mlp.down_proj,896,0.23729457130432116,1269.6698388382792,896,127,10,0,1,0.49338925987507753,1.0130756034176334,12.518815040588379,101.4209279969205,success,3.538193702697754,0.20804525911808014,under-trained,0,12.518815040588379,2.0654118061065674
7,19,Linear,0.025291068429091734,896,896,1.0,1.3180532208210252,4.143153119466644,5.027610862544754,2.3777957248467,0.0,0.9044088937270588,True,16.348373413085938,dense,5.124307963579496,2.7124421162444063,1.213474548870153,model.layers.1.self_attn.q_proj,896,0.14544540088272087,515.7534197031779,896,38,55,1,1,0.5098867658714685,1.016225812581301,16.348373413085938,31.547690199585652,success,4.043312072753906,0.00019939281628467143,,2,16.348373413085938,2.9109060764312744
8,20,Linear,0.08062801394801133,128,896,7.0,0.8724571409771001,5.318807851420256,3.823797657194729,0.5208857806135034,0.10614433981399375,0.9409555744770471,True,5.235040664672852,dense,4.28330074014047,2.2257217663380424,0.7189200595343332,model.layers.1.self_attn.k_proj,128,0.09949985376972324,168.15963899344206,128,25,86,0,1,0.8637615702840511,0.45695910171143195,5.235040664672852,32.12193558079089,success,2.2880210876464844,0.15450085699558258,,0,5.235040664672852,2.2452831268310547
9,21,Linear,0.05007960975652814,128,896,7.0,3.5000285653461574,7.527886017163215,-4.122948567863011,0.1555215698887939,0.031691658665051234,0.98771154481366,True,0.28334131836891174,dense,-4.080659389696134,1.0190667919635543,-0.547690089682932,model.layers.1.self_attn.v_proj,128,0.5488841895141606,10.448809034656733,128,20,2,0,1,1.4596796883747307,1.0016797265183124,0.28334131836891174,36.8771102457155,success,0.5322981476783752,0.06859346479177475,under-trained,0,0.28334131836891174,0.11784565448760986
