,layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
12,25,Linear,0.05034448507617628,896,4864,5.428571428571429,0.9110678263569933,12.679181918147098,7.071473197652311,2.4537816238210257,0.3914020239085635,1.0300454686002947,True,3.611795425415039,dense,7.289400537834625,3.033206589380096,0.5577231435989773,model.layers.1.mlp.up_proj,896,0.6793800132074358,1079.4600880853832,896,37,12,0,1,1.9200456798984231,0.9985651514985575,3.611795425415039,298.8707722728621,success,1.9004724025726318,0.1778944879770279,under-trained,0,3.611795425415039,2.3223180770874023
13,26,Linear,0.01790867853184719,896,4864,5.428571428571429,0.9117968783691083,5.475493422271355,6.1807529604246705,2.3526712238739385,0.37527393215283955,1.0218487803760044,True,13.452497482299805,dense,6.193106824593041,3.0325118076292763,1.128802919438219,model.layers.1.mlp.down_proj,896,0.1748873193969728,1077.7345548197627,896,132,39,0,1,0.38954170209707084,0.9785577526621416,13.452497482299805,80.11408708589596,success,3.667764663696289,0.31171903014183044,,0,13.452497482299805,1.8816715478897095
14,32,Linear,0.06616977583912853,896,896,1.0,1.4474140479736035,2.545759324317407,2.544056225977104,1.9371752534132118,0.0,0.9002179103267143,True,9.984607696533203,dense,3.3447125526730246,2.6311224428930116,0.999331005753751,model.layers.2.self_attn.q_proj,896,0.1940161609039308,427.6834481654746,896,109,48,0,1,0.1480568911456899,1.0072731186090655,9.984607696533203,42.83427663502216,success,3.1598429679870605,0.0006729247979819775,,1,9.984607696533203,1.0894678831100464
15,33,Linear,0.08493572630232149,128,896,7.0,1.1466858943438074,7.3292025711079125,3.9751544866921993,0.4746834332735105,0.09672938198872102,0.9292525920859352,True,3.486358404159546,dense,4.170426565399135,1.9883210292858695,0.542372031353378,model.layers.2.self_attn.k_proj,128,0.13615451374912274,97.34665416739881,128,10,63,0,1,2.001469589729482,0.573335042641425,3.486358404159546,27.922159136380042,success,1.867179274559021,0.09284602105617523,under-trained,0,3.486358404159546,2.0220041275024414
16,34,Linear,0.12054919387674629,128,896,7.0,2.344475293026526,6.254382477177647,-2.791554237570927,0.34963823998119864,0.07124809610433232,0.988276595620004,True,0.35781973600387573,dense,-1.7475171062937214,1.3671186489711822,-0.44633570904199704,model.layers.2.self_attn.v_proj,128,0.9771351459982395,23.28727377578616,128,41,0,0,1,0.820596677862406,1.0060442944546315,0.35781973600387573,65.08102106344946,success,0.59818035364151,0.23090772330760956,under-trained,0,0.35781973600387573,0.22387023270130157
17,35,Linear,0.06837660558071584,896,896,1.0,2.090817378511919,6.233698984719527,3.5801102457289025,0.9471133917851492,0.0,0.9000284720596025,True,3.752455472946167,dense,3.718334729757947,2.311675807219668,0.5743155475592767,model.layers.2.self_attn.o_proj,896,0.25239830255508444,204.96315956280236,896,22,65,1,1,1.115828372731834,1.0173891324112228,3.752455472946167,54.62107706287573,success,1.937125563621521,9.957464499166235e-06,under-trained,3,3.752455472946167,1.5543662309646606
18,37,Linear,0.01326791955895823,896,4864,5.428571428571429,0.6429072203891248,4.047295054685135,6.446292634943334,4.451243813449029,0.7100166618663605,1.017114555372672,True,39.15082931518555,dense,6.482019506211673,3.336011403099338,1.592740965964695,model.layers.2.mlp.gate_proj,896,0.1136947515878677,2167.761022120714,896,187,61,0,1,0.22284028416702156,0.9490667000117494,39.15082931518555,55.36947901330658,success,6.2570624351501465,0.1784389466047287,,0,39.15082931518555,3.2256009578704834
19,38,Linear,0.09368872872575618,896,4864,5.428571428571429,0.8867315235754338,7.496067440103459,8.550581369660557,2.612153537384885,0.41666388376495933,1.0285894206384587,True,13.825333595275879,dense,8.550723122494297,3.056723713581849,1.1406756193141379,model.layers.2.mlp.up_proj,896,0.18893963891601567,1139.524622136727,896,148,3,0,1,0.5339734543101566,1.002765165720108,13.825333595275879,82.42293860642198,success,3.718243360519409,0.1541983187198639,under-trained,0,13.825333595275879,1.8908344507217407
20,39,Linear,0.02859997556811733,896,4864,5.428571428571429,0.9015372993835864,5.8781410885976575,6.436528000736857,2.4376630880658907,0.38883096075617973,1.0213479391803202,True,12.444968223571777,dense,6.445347281111833,3.042340610592725,1.094993792037818,model.layers.2.mlp.down_proj,896,0.19587539672851553,1102.4035690277815,896,89,41,0,1,0.5170819212285435,0.984868576213012,12.444968223571777,88.58227270839791,success,3.527742624282837,0.31710609793663025,,0,12.444968223571777,2.1755194664001465
21,45,Linear,0.05893120201987723,896,896,1.0,1.4785516860222327,4.658031114141039,3.5926775415245196,1.8898948243371354,0.0,0.9317000016579297,True,5.905908584594727,dense,4.071018673199684,2.612634987971804,0.7712867203951738,model.layers.3.self_attn.q_proj,896,0.3200006903707981,409.85948307126216,896,37,42,0,1,0.6013766106962747,1.0163079738283765,5.905908584594727,69.39820980980988,success,2.4302074909210205,0.0007200590334832668,,2,5.905908584594727,2.1015303134918213
22,46,Linear,0.062076971116071356,128,896,7.0,1.0842490228813988,6.529804480441595,3.502272350766853,0.5123950912834304,0.10441413590548078,0.953681395723654,True,3.438363552093506,dense,3.6388657125166,2.036951890772989,0.5363517944920155,model.layers.3.self_attn.k_proj,128,0.14902295336729302,108.88094731420279,128,22,75,0,1,1.1789582765366122,0.5632400120226022,3.438363552093506,31.666502295229595,success,1.8542824983596802,0.07378404587507248,under-trained,0,3.438363552093506,1.472157597541809
23,47,Linear,0.07599406395843511,128,896,7.0,2.31522069732376,20.20474288269024,-9.469905945822987,0.3559646029702033,0.07253726092296235,0.9952838668823227,True,0.3398621678352356,dense,-9.334804982418408,1.3780251771590006,-0.46869717673744926,model.layers.3.self_attn.v_proj,128,1.0473793103761233,23.87949714437127,128,11,0,0,1,5.790447848830171,1.002438603014012,0.3398621678352356,70.26229867382003,success,0.5829769968986511,0.23386883735656738,under-trained,0,0.3398621678352356,0.2730250954627991
24,48,Linear,0.06400132228936062,896,896,1.0,2.081472905049721,5.7533706607006625,2.5834611042807465,0.9571166732539487,0.0,0.9405204209334401,True,2.8121232986450195,dense,2.7462883547781196,2.315566485739695,0.4490343585765296,model.layers.3.self_attn.o_proj,896,0.34035373687744114,206.80759575181642,896,30,32,0,1,0.8678427783496627,1.0181768238159559,2.8121232986450195,73.54143961307231,success,1.6769386529922485,0.000357109762262553,,2,2.8121232986450195,1.0359500646591187
25,50,Linear,0.016988341274261853,896,4864,5.428571428571429,0.6220557366118732,4.817579562708391,8.116512014781563,4.884896630849508,0.7791885020808494,1.018340799755154,True,48.39156723022461,dense,8.119452585370798,3.3646494106390006,1.6847696875853042,model.layers.3.mlp.gate_proj,896,0.10094520410156253,2315.5246605947614,896,110,52,0,1,0.36399192945109987,0.9619770901106712,48.39156723022461,47.8497555075778,success,6.956404685974121,0.1465575248003006,,0,48.39156723022461,4.201432228088379
