epoch,s_EH,s_DC,s_EX,s_MA,s_RR,s_AG,s_AS,s_SV,s_VA,s_AR,s_IF,s_ED,feat_hedges,feat_modals,feat_meta,feat_backtrack,feat_action,feat_verify,feat_q_ratio,feat_exclaim,feat_pos,feat_neg
baseline,0.0,0.1366120218579235,0.25277777777777777,0.0,0.0,0.0,0.7472222222222222,0.0,0.5,0.0,0.0,0.0,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.25277777777777777,0.0,0.0,0.0
epoch_60,0.1282051282051282,0.2564102564102564,0.22777777777777775,0.0,0.23809523809523808,0.0,0.7722222222222223,0.0,0.5015432098765432,0.0,0.0,0.0,0.002564102564102564,0.005128205128205128,0.0,0.0023809523809523807,0.0,0.0,0.22777777777777775,0.0,0.0030864197530864196,0.0
epoch_100,0.1388888888888889,0.1388888888888889,0.32499999999999996,0.2777777777777778,0.0,0.0,0.675,0.2824858757062147,0.5,0.0,0.0,0.2824858757062147,0.002777777777777778,0.002777777777777778,0.002777777777777778,0.0,0.0,0.005649717514124294,0.32499999999999996,0.0,0.0,0.0
